defense,attack,agility,stamina,class
3.4633002118,4.021888088,3.091063729,1.1064733113,demon hunter
5.4042264554,4.8825265295,4.5458864551,3.1710837539,demon hunter
5.4616936916,1.8017611736,4.934013471,1.2014661906,defender
2.2033275864,5.2062394461,2.0221500346,3.3125315853,wizard
5.3934866553,4.1425861758,2.838302149,2.742880384,defender
1.5734585179,1.179815928,4.6226245225,4.6641643941,defender
4.3102067537,4.0770858936,2.0099551291,2.1928994721,wizard
2.5473781037,5.9397149333,2.728790442,5.6193696931,wizard
4.5506507754,1.9839929966,5.6684379526,5.6688909968,defender
3.4352526641,1.0128933648,3.2651685192,2.4357186318,defender
4.0347814527,4.6499143764,4.7563876878,5.8985528783,wizard
4.7810794078,1.1258451818,5.3419877067,4.1335343537,defender
3.2969289357,4.1606141431,4.9623753191,3.3269658629,demon hunter
2.5332053113,2.7586226272,5.0711542149,1.1657029055,demon hunter
4.3082890813,3.5553553458,2.280012636,3.027778679,defender
3.7351712761,4.4646408702,2.5417267638,4.8817476016,wizard
1.0746470736,2.0453780298,1.9850929631,3.5516818929,wizard
3.1710515884,2.6220251773,3.0991055737,1.5600980646,defender
3.606018174,3.7138834074,3.7267767722,1.7217023638,demon hunter
5.3716167402,1.0412708404,2.789528823,5.7135314834,defender
5.9398237187,1.7615582249,2.1449564435,1.991424669,defender
1.8874034067,4.1280044303,2.2886185735,4.7209031265,wizard
2.0478689894,4.1843323424,5.9429549719,1.2509938926,demon hunter
1.4166968004,3.5810743007,1.1364296488,5.0141091868,wizard
3.4787500571,4.7249858817,3.6067334833,3.871600925,wizard
4.9169789548,5.0204768232,2.5721587162,3.6813805592,wizard
5.3034057366,5.9020719179,3.6159553253,4.7432103045,wizard
5.4649126707,2.9094239129,1.4586674506,3.6051729824,defender
2.9506947533,1.3427320975,2.9503035978,4.2668567798,defender
2.1042903224,4.8365294109,2.9645338412,2.8905184721,demon hunter
1.6114215986,2.9916937291,1.1760260738,4.253152417,wizard
4.5041463096,2.659290588,1.6080999086,5.3664517417,defender
5.240364891,1.1189810457,5.4278513337,5.5580100152,defender
5.1330902325,4.92084311,3.645828994,5.3767945399,wizard
3.2483954648,2.6118402896,3.7766153729,2.8581482396,defender
1.6323171128,1.2525624773,1.842742424,2.7106288439,defender
3.9339430365,2.1653744197,3.0596144302,3.681044573,defender
2.0674463375,3.2044758312,1.9476861358,3.2373487754,wizard
5.1467726883,4.6834016652,5.0261337627,1.4125988064,demon hunter
5.2491282197,2.0974674416,4.4535092278,1.6822389527,defender
3.9879859136,1.1304240874,2.3452089671,4.1219471828,defender
3.1221178165,2.2136620609,1.3511299496,4.6103774863,defender
5.4668144779,4.5994075122,1.2586981002,3.2981438902,wizard
3.4171249359,3.9709607898,2.8918038998,5.4990629912,wizard
4.8758575311,2.5502151684,5.5576658146,5.6931176563,defender
4.1620554603,5.5376328938,5.7901953734,2.1242529959,demon hunter
3.2896274156,4.794372573,1.9988484043,3.7241384098,wizard
5.9614871852,4.3570737555,2.7439118423,1.8376784506,defender
3.0404754207,2.9465345424,3.3591333488,5.1082598735,wizard
1.205727315,2.0666091833,2.1970332707,2.6082615685,wizard
3.8219236317,4.1937132287,2.7931207409,4.3191510895,wizard
1.6172949797,3.2887381096,1.2596988995,3.0518188435,wizard
2.5508818347,4.034419918,5.5846350864,3.1515028016,demon hunter
2.6891356953,1.4267393681,2.7208963376,4.8430174161,defender
2.5509923641,3.7466905466,2.541063122,2.4793310687,demon hunter
5.2034694809,4.840619782,3.1976935375,3.5399115263,wizard
5.4864460686,5.1649566661,4.2732165419,5.2381689581,wizard
1.3047781414,2.8455794198,4.4538409882,4.4789438569,wizard
2.6726570879,2.5018114145,5.820962504,2.2757646199,demon hunter
4.5645027319,4.4657778288,1.5175966723,1.4382574838,demon hunter
4.4726774017,4.8242016314,1.9757044329,3.0684785093,wizard
3.4952178774,4.0573124904,1.804003037,3.6648401306,wizard
5.1441711993,5.0462102415,3.8868300235,3.345066159,demon hunter
5.8849776876,4.3476406801,2.3977765152,4.5104251606,defender
3.5125973485,1.0845235609,4.5565488995,3.5427329587,defender
5.3226925191,5.3714237562,2.217003176,1.7858138904,demon hunter
5.2647577473,5.6274706628,2.1292820773,5.6708441665,wizard
1.9466087865,1.9374148352,5.4031926664,1.9502445813,demon hunter
2.3885020651,5.5111115184,4.3353131521,5.9207893386,wizard
2.989267848,5.8611794692,3.9184919596,5.311017585,wizard
2.9758577156,5.4844857254,4.5306959692,4.7224949966,wizard
2.067561158,2.1200289172,5.4676695974,2.4175259927,demon hunter
2.502049556,1.9525388456,5.5018498297,5.0152163501,defender
1.3239626018,2.9802669459,3.7660808363,1.8247420751,demon hunter
1.4522127379,2.5409657802,2.2118099467,3.0308385859,wizard
3.9682534211,2.5814948152,1.1479059411,2.4521534275,defender
3.5317393965,3.1584187332,2.6695302539,3.3714460875,wizard
3.2922354285,4.9202414639,4.7814209331,1.0048434059,demon hunter
5.3158609909,5.2815032764,4.7659890042,2.6999128927,demon hunter
1.4224078893,2.2917187088,3.411747626,3.2966849734,demon hunter
4.7142109661,2.4899690473,3.2820731322,1.7560058497,defender
3.4425078928,2.8794172234,4.8596841716,1.2162605221,demon hunter
2.0410025995,3.766470497,5.3074362772,2.6257650079,demon hunter
4.6566035938,2.4932153374,1.8186051692,2.709924466,defender
4.0747101549,1.5192462238,1.3140158672,4.5952205444,defender
3.677664957,2.6248570173,4.5680727055,2.1567582912,defender
4.9963031048,1.6064495514,1.3058493882,1.6276871357,defender
5.5266910153,5.3471952109,5.3520386168,2.2885385333,demon hunter
1.570041812,4.3081119484,1.0080248411,4.66789961,wizard
5.9596183188,5.3360308162,2.6327157896,1.4304327327,demon hunter
2.9204017799,3.3713659449,5.2507831682,1.3469267557,demon hunter
1.5631872802,5.3629096751,3.1293801721,4.1104673399,wizard
5.7362323501,2.6041898797,4.8378028665,4.7593586184,defender
4.0974052171,2.4368164493,2.3099260884,1.1830118336,defender
2.9560626731,4.392835944,1.0176929613,2.172115372,wizard
2.7785649258,5.6337276301,4.9809228433,5.0139960684,wizard
1.3025346017,2.3052559411,5.6133678919,4.3329614601,demon hunter
3.0008610701,1.8725764137,2.8813058012,2.661056038,defender
1.2086072299,5.621392733,1.0518254656,2.9604793889,wizard
5.3318453338,2.8413230195,4.7933893222,2.4389716159,defender
3.1882497775,2.9722272479,2.335136923,4.5826285044,wizard
2.6930958442,3.7514370577,5.3556269375,4.4645170951,demon hunter
5.9013335444,2.4293281944,2.3541736966,1.5373011646,defender
5.8221641406,3.4530321546,3.2766500665,4.0750700342,defender
4.6251475289,2.8573962175,5.3803185807,4.6744265817,defender
2.4911238477,5.8398571019,4.8538531703,1.4037124547,demon hunter
2.7089683958,1.472046691,2.5854951949,3.9368674825,defender
4.8050081534,5.1563877743,1.0289641879,2.3223362877,wizard
1.943729023,1.8058692235,3.7663486148,1.2375714201,demon hunter
3.0788944396,1.9955544886,2.2171595404,2.0873450246,defender
3.9677817365,3.0981939486,2.9520838326,2.3650654838,defender
1.680822453,5.2671442172,3.0185812749,5.3029186595,wizard
3.7674357546,3.3739182996,4.8032464939,2.3742082124,demon hunter
4.8272403693,3.6687692991,3.5394984521,5.2341569648,defender
5.5261655166,4.6254106346,4.4652677388,3.4523878982,demon hunter
3.8561003529,2.0172893666,3.1210713335,4.3581036236,defender
2.4893360576,3.3191209091,2.4755086834,5.5650687488,wizard
1.8874050388,1.294344211,1.9440814331,3.4350872007,defender
2.1002134369,2.5044728736,2.7420442938,2.8311340618,wizard
3.8266885504,4.8665620517,1.9647560003,4.8209387334,wizard
4.0880829529,1.7944702893,2.953324168,5.5121541386,defender
1.0973889488,2.6455784556,5.0194967552,1.1066642278,demon hunter
2.4808724425,3.8648247058,1.5335940048,3.8227432491,wizard
2.448153886,1.3081128118,4.5918454942,3.2591735562,defender
3.76050071,1.0597595237,1.1398412767,3.4296483607,defender
2.0770488903,5.9134216248,3.2325425339,1.6166010629,demon hunter
1.1816698117,3.5663849479,3.8607291612,4.7080512196,wizard
1.2125240932,2.0690748505,3.9002089123,4.9609425981,wizard
3.8275046498,2.954568387,2.0185321746,2.4497673651,defender
1.7755071204,1.7268974651,2.5213677543,4.7922606501,wizard
1.4378391057,4.8635900733,4.9702543034,2.6187567031,demon hunter
5.4835814089,5.4573358609,3.2800791124,1.4511267459,demon hunter
1.7592395577,1.017175416,3.6126601943,3.8998379759,defender
1.0769349397,4.7282329984,4.6416546232,4.5197402677,demon hunter
5.1363413306,2.15398383,4.1108234054,2.4060495165,defender
4.7203687779,1.8741971571,5.3388095917,5.464997102,defender
5.5822483767,5.3180111423,1.3870859952,2.5810979391,wizard
1.5420405371,5.7947724699,2.7493408569,4.2872949075,wizard
5.0141923726,4.3695451869,3.1618058393,3.5248479797,wizard
2.388438053,1.5355601269,2.9433506811,2.6154596582,defender
3.1543168323,3.599644945,3.0569808083,1.3586923564,demon hunter
1.8098191023,2.6378982412,2.6550736572,5.3370599207,wizard
4.0652929191,2.56905866,3.5400671363,2.3236692641,defender
1.0887989276,2.7320085969,3.8859924269,2.7069475423,demon hunter
3.5811446994,5.2251402582,4.5431514028,2.6063612071,demon hunter
4.1874591461,3.1633930784,1.2898862399,5.1255623312,defender
2.9581655483,4.930237398,3.2175323055,4.7294996856,wizard
3.0990448724,4.7075064075,2.2323543872,2.2317246804,demon hunter
2.7672848073,5.2608507117,2.8604956591,3.6207924401,wizard
3.9794847989,4.9216016396,1.5594998831,4.9174764673,wizard
4.254536388,4.7893039011,1.3583625634,3.2145735403,wizard
4.9465821395,2.319829307,5.2605367466,2.5070457826,defender
4.0267768493,1.447161491,1.2129073557,2.2126205792,defender
5.6723017516,2.8325745664,3.8721112665,3.7524058078,defender
4.4389357734,1.6079215487,1.4467775463,5.9931826,defender
3.771314627,4.2154531544,3.1456905524,2.6263949219,demon hunter
1.3558946075,5.7294801776,4.4369865851,5.3632228579,wizard
1.5949475383,3.4549394799,2.715790194,5.6693409723,wizard
3.2901334125,3.362232348,2.2838339875,4.5762858531,wizard
3.4937623204,1.2696182113,2.1105094315,2.3908589794,defender
5.0589221148,2.8433338706,3.4282698031,4.0638335994,defender
5.0579074132,1.7482987083,1.9030131181,2.0201152973,defender
3.0681280154,5.4172846782,5.8644461692,4.0044895527,demon hunter
5.8370641191,1.0949048647,1.323007158,2.0428543948,defender
1.7028264133,5.5367479208,3.7522010752,4.2759998948,wizard
5.9023948167,4.4741410427,4.449763658,2.3415393326,defender
4.2036212203,5.8978916276,5.2611144879,1.2582894242,demon hunter
3.7132289042,2.6406078055,3.4926217622,2.0624238523,defender
2.3099487778,5.8560620262,3.2182943742,5.4290190982,wizard
4.0053049512,4.6000821902,4.8697004039,4.5021283641,demon hunter
1.3454622347,1.4990672716,2.2473659799,3.9286225187,wizard
3.3459071969,5.4033696479,3.4078592006,4.3154939953,wizard
4.41039886,3.2103533661,5.2413773108,1.6034451677,defender
2.7471012892,3.244923322,1.5209232168,5.1132252757,wizard
3.5873663183,5.4993023644,5.3971939944,1.4233180336,demon hunter
1.6816074578,1.7909875386,3.4315953441,4.6583084823,wizard
4.5143705085,4.394836362,3.8238554625,4.7415441219,wizard
3.3416263121,1.732664885,3.4684733711,4.5801869025,defender
5.2347932491,1.8291604137,1.0684422697,5.4118240522,defender
2.3282276876,2.211326716,5.1399492347,5.5802554837,wizard
4.983625134,3.5755936676,1.1956465631,3.608509406,defender
1.8910876652,2.4858564315,4.6962098,2.3914843346,demon hunter
4.6364076566,5.3014865252,4.4147118009,1.4433110892,demon hunter
5.9426134536,5.1573308734,5.580648907,2.0020781192,demon hunter
2.7930656578,5.339807448,3.9981159302,1.2622563648,demon hunter
4.6570927291,5.2246610019,3.9662051238,2.5124864411,demon hunter
3.2451513261,2.4809481916,1.7354933163,1.485532803,defender
3.3101086053,1.3078314383,2.7340717372,5.9960300629,defender
2.5191581543,2.4799445751,2.0602000589,4.6383362929,wizard
2.2139299628,1.6591073913,2.9925785856,2.9469790929,defender
3.1449638228,1.0438251928,2.2086506444,5.8646898521,defender
2.4353095298,3.1050176281,2.4065041533,1.8411736228,demon hunter
2.2844847119,1.0717171864,5.6993849007,2.6554281907,defender
5.2290480621,5.8212159565,1.8232940757,2.2270981679,wizard
1.5669056159,4.8096969691,5.0719533362,3.6163597358,demon hunter
2.8410207378,4.5650215484,1.0775079895,3.7290460654,wizard
5.209994257,5.8072258639,1.1150573022,3.3226593155,wizard
4.8026038907,2.5201028623,5.8578724544,1.8098943345,defender
1.1584391575,2.6342154564,3.2933228477,5.8628039495,wizard
5.9066291447,2.3723691204,4.0462871701,3.2861422575,defender
4.4773867484,5.4382866728,1.2794602956,2.3419386744,wizard
2.4136558608,5.8838909017,5.7051068582,2.5639450098,demon hunter
3.7910431777,1.6427039229,4.873727934,4.9493002882,defender
5.4524008944,1.5284009362,4.3062575548,5.196735092,defender
4.144760672,4.3579487936,2.922970342,4.5243542306,wizard
2.253400296,5.9857814098,5.7930072737,3.0004783315,demon hunter
5.323137647,1.4633945529,5.9921546853,2.7560212128,defender
2.9834974152,5.9080645759,2.5422800346,4.1257415377,wizard
3.9885454895,3.1419365727,1.5382744269,3.4847764475,defender
4.5143056931,4.8356028823,4.2738895551,3.8951746342,demon hunter
5.2371133086,2.9916924415,3.8184450651,5.7796517378,defender
2.8755833455,4.553349853,1.1172948629,1.6507691694,wizard
2.2934730947,2.5806902037,3.1090911399,3.9083380406,wizard
2.2662868341,1.7458739891,4.0882216152,1.2869184362,defender
5.2702282197,1.2538518119,4.3598386403,4.1566638849,defender
1.239633224,4.1892571785,1.1897355099,1.5236285157,wizard
1.9870230686,1.0326404977,5.6987424907,4.5554852034,defender
5.9407050759,5.5128731593,3.6386146969,3.9705204838,wizard
1.1124570589,2.4829851105,1.3185879928,1.6271601864,wizard
4.5223348206,4.626762752,1.6184551958,4.5924775503,wizard
3.1458274033,3.7594481292,4.410217301,3.4940385413,demon hunter
5.074728745,3.2631222662,1.7651732909,1.434235807,defender
1.1714603067,5.7036903957,1.4495643848,2.1838198872,wizard
2.4376716991,2.4377471409,5.6270043193,5.7197926044,wizard
1.2434211201,2.6773049231,2.7099454231,5.8167398316,wizard
5.3296129908,2.2304441887,5.0410180087,3.499245028,defender
5.2009646725,2.6506504989,1.4302658723,2.0335965944,defender
4.1336356094,2.9682276878,5.4462241209,2.6389165167,defender
3.5953878765,5.3134217313,3.9401844856,4.4522236022,wizard
3.0447011525,2.1177226971,1.8982864488,5.1456090217,defender
4.8771708286,4.5586396814,2.0526782228,5.1905285558,wizard
2.4536508219,3.2873881296,2.9910785253,1.1274069678,demon hunter
2.311226855,2.6251111287,4.0628582719,3.4406429101,demon hunter
3.1604355145,3.7488985565,5.4262034795,3.6898625912,demon hunter
3.5066024228,3.4038566346,4.6343008233,2.1361489026,demon hunter
3.7867994015,2.8362154136,4.2943447074,1.7561589032,defender
4.8044431037,3.8352654958,5.9555033562,2.3406318775,defender
3.1486872295,1.9204350109,4.0423011607,4.8292312925,defender
5.3726586155,2.3998309802,1.2899321658,2.3485587155,defender
3.5175536773,1.0888717151,4.0259663844,1.2820868511,defender
4.6475113966,2.4173597679,4.1045799283,4.5642408114,defender
1.607888326,2.394724506,4.6821126356,5.7001896193,wizard
5.8275965871,3.061539148,3.7668632986,1.9230249934,defender
4.686650279,1.6731911609,4.3438925492,1.8550849138,defender
4.113834071,2.1388234445,2.2099434319,2.7037311918,defender
4.8877220009,2.7495085509,5.0117487987,1.9086859226,defender
5.4393711421,1.2742695855,1.2592163952,5.7769220895,defender
3.6781262201,4.3139254805,5.4500743854,2.9459735672,demon hunter
4.7821889808,2.3124270434,2.3429217297,5.3002344039,defender
5.1476925416,3.2368737869,3.2761671175,2.7731876019,defender
4.1573088001,3.5866320846,4.9864630648,2.2963797711,demon hunter
2.3852514862,3.5299674156,4.9473271836,2.5040167444,demon hunter
3.8987412504,1.0327628828,1.3338310006,2.7223912384,defender
