f1,f2,f3,f4,f5,n1,n2,class
9.81,11.330423454,12.012266223,0.0928066695,0.1123319292,5.879,7.487,E
3.606,3.8559787182,4.35347167,0.2473207121,0.3463132393,5.519,9.912,E
5.84,24.9681082404,39.2740252351,0.1123763848,0.2976185788,1.439,0.338,A
6.167,6.7889216952,8.8823860522,0.0060267685,0.0062330152,7.293,6.927,C
4.776,5.2056969972,6.9539726738,0.0235249872,0.1667741734,7.343,0.573,C
0.122,0.1404953388,0.1813666645,7.6471217358,42.8967689754,2.734,7.242,D
9.18,11.8974982023,31.6291821955,0.0813003575,0.3429527012,0.134,9.498,B
7.677,24.2190003938,3389.8867730612,0.0271827192,0.1046656104,2.929,6.424,A
3.079,4.7527574216,6.5162904337,0.2531325781,1.7415384663,9.346,6.857,D
0.399,0.4246692874,0.5159508798,0.8845270854,1.1811007727,1.048,6.114,C
5.902,9.1205443314,9.7140896994,0.0296267321,0.4646976206,5.021,3.94,C
9.536,314.9276385725,468.8188031764,0.080052728,0.0896969584,6.097,5.881,A
3.064,21.2135347091,24.2486434157,0.0249944674,0.1044065392,9.178,0.904,A
3.514,5.4231159723,7.9561825548,0.0066721386,0.0081043783,9.836,3.952,C
4.441,5.6745628298,5.9868117309,0.1712059704,0.243157402,7.115,3.989,E
7.024,158.566979902,235.1276528564,0.0064732957,0.0099893217,0.503,8.907,A
3.335,4.0148304939,10.2879526514,0.2568407804,1.1788314601,4.866,2.619,B
6.709,10.9391507319,11.6469094419,0.0337709816,0.0366333034,0.792,4.206,C
9.62,13.9386877041,17.9445311693,0.0759237462,0.1993063184,4.937,5.074,D
2.264,3.1751709452,38.2157527473,0.415479257,1.4971273511,9.962,3.655,B
0.99,1.6318405363,2.4703652994,0.0843044435,0.1253587028,9.141,8.144,C
1.926,2.1285418156,3.3227897419,0.1280882547,0.4520690347,6.763,9.96,C
9.766,10.2955947009,15.6926098045,0.0721992201,0.0982292431,0.925,8.912,E
9.387,9.4078272763,14.9628802714,0.0809852004,0.1215594987,0.715,9.526,E
3.798,31.1562585928,36.2437756402,0.2491865766,0.4108675532,2.111,2.414,A
3.342,3.6161090563,4.1324811148,0.2711252129,0.3234356105,4.921,2.47,E
9.173,32.5193997272,41.562223873,0.092837464,0.1542732502,7.352,2.574,A
2.227,2.2486076481,2.6264752123,0.044538019,0.0644900912,5.337,8.043,C
4.333,12.1035841936,16.8981819829,0.1958323951,0.8406170996,8.765,1.06,A
3.566,13.5329485003,39.8786453458,0.0383187488,0.0468565031,2.026,9.539,A
4.115,4.8146099911,5.1735286234,0.0953943804,0.1292567342,1.841,3.597,C
7.833,7.9318954736,13.1910851475,0.110546123,0.1242527508,9.714,2.489,E
9.62,13.9566525541,14.5793442735,0.0722410183,0.3921797603,5.384,9.34,D
7.556,8.2425644317,51.8842069165,0.1210858038,0.3910920729,5.162,7.815,B
9.437,10.4949380207,73.2334244673,0.0065975974,0.0093453411,2.587,4.873,B
7.013,10.2913264081,10.9439392216,0.0291895886,0.0479597696,5.939,5.718,C
7.332,38.226028464,40.5972947822,0.0425877084,0.6004489084,9.252,3.935,A
3.189,3.2628198976,9.3685353215,0.0016500444,0.0017709206,0.484,7.465,B
4.772,7.7480037921,100.9130616667,0.1895441631,0.2365452325,4.78,1.722,B
0.522,2.9591714913,3.5283500848,0.0682937806,0.3969631818,4.743,4.239,A
6.72,9.173658534,10.5285065187,0.1320297581,0.2144427251,9.301,6.526,E
0.707,2.919529302,4.0269654801,1.407507319,2.1678793429,4.62,0.341,A
5.091,14.9590601979,16.3240398331,0.0752476943,0.0801094843,5.635,1.052,A
0.51,0.8371776355,2.8599509554,1.7672619105,16.3792240257,4.371,4.811,B
6.968,7.439356472,10.9719220249,0.1291286819,0.1304496724,6.551,7.599,E
3.619,4.0208471456,4.7710732696,0.0263890953,0.0321340477,1.049,7.911,C
1.746,2.0374898495,2.1770538887,0.1919603544,0.9820482995,6.177,9.695,C
7.235,9.9067632151,11.2803726899,0.0442393996,0.0720214042,5.278,7.902,C
1.426,2.3491119065,7.2165526487,0.5894347197,0.8852997429,7.496,5.924,B
1.264,2.0382314342,2.0551328763,0.0558961412,0.192500624,5.745,9.877,C
1.658,1.883362323,2.1367960743,0.1454792399,0.4410084771,3.695,5.315,C
4.874,5.0472479984,6.5424585497,0.0734877729,0.11884712,5.283,4.652,C
3.427,4.7971549611,5.2344267935,0.2425688281,0.2921892568,8.406,2.873,E
1.779,2.1745090649,3.259798026,0.451974637,2.3058469731,6.263,7.15,D
2.026,2.069044612,2.1719503813,0.2997110903,0.3362446127,4.437,3.962,E
3.449,19.7766671041,26.3203655965,0.2219276364,0.2439425504,0.57,3.994,A
0.402,0.4511403627,0.5249462231,0.4430563968,0.4589663753,4.329,0.476,C
5.981,9.1624490999,12.4836413144,0.1449192212,0.1915589835,6.947,6.793,E
9.866,12.1707160928,15.0189727035,0.0359316649,0.0463278391,1.804,8.854,C
1.869,2.1048775169,2.4552113787,0.3768220262,0.4442183762,4.655,8.125,E
8.955,14.6217127605,18.6897173419,0.0999699027,2.133958336,5.22,1.705,D
8.642,8.8326450821,38.7461178752,0.0735109621,0.5967268704,7.538,7.638,B
1.029,2.8768017054,3.2448145127,0.8623386196,1.0427909387,9.525,6.822,A
9.615,12.0443132849,15.7127286567,0.0710932262,0.0839902068,3.871,0.179,E
6.037,9.4533710776,9.9139125328,0.1612746452,0.4276944815,6,2.387,D
0.472,0.4838273899,0.4994519531,0.3361835338,0.8407368883,8.905,1.773,C
9.62,257.5488667415,326.881921465,0.0103891122,0.0103965533,1.098,5.576,A
1.533,1.5593053162,16.9874634233,0.4105940164,78.24700932,9.172,9.504,B
5.66,6.2935948358,6.3640059814,0.1158229992,0.1755611497,9.857,2.238,E
2.653,3.9062141289,5.0354530044,0.0064364417,0.0066794222,3.825,6.735,C
1.353,1.4505466811,1.4796470749,0.6312006718,43.9811781977,7.148,2.881,D
9.029,45.1601978734,50.1355905293,0.1026131445,0.1185591284,9.583,6.601,A
0.596,1.6674778287,2.5521317039,0.3791093143,1.4635892754,8.351,5.613,A
0.261,0.356055233,0.3852783064,3.6019180794,14.195305785,7.062,7.918,D
3.449,5.0197653889,6.9282943394,0.2663408481,0.3766566595,4.238,8.012,E
4.819,6.2984090305,9.5493645042,0.1752683244,0.2347006366,0.148,6.763,E
3.061,331.6112873085,940.579167556,0.3053908033,0.314675213,5.196,7.011,A
1.602,6.6207923001,6.9372072118,0.1993882424,0.6580958581,6.637,2.116,A
9.449,13.5633152423,19.0223252791,0.0652847636,0.2749265548,3.654,5.688,D
1.142,1.5492389666,4.0527759372,0.5320777402,3.0737713122,1.874,0.523,B
1.584,1.9824303163,6.9989033746,0.4370585372,2.9561994913,9.712,4.399,B
0.73,1.0590560388,4.3498458909,0.8799706892,2.5496350689,6.255,5.559,B
8.499,9.7366204555,12.5202812372,0.1148471305,0.116404986,8.771,3.377,E
5.222,18.733950091,20.703054378,0.0074606675,0.0083373859,4.841,4.666,A
7.625,435.1849952903,514.2728248725,0.0117568794,0.0655620023,1.32,5.086,A
7.571,7.6582324876,12.6235149137,0.005263555,0.0066494468,5.446,7.381,C
2.681,3.6795871208,38.7496746331,0.324168628,0.8677719145,0.821,8.029,B
0.651,3.2040224303,3.8839584179,1.296783894,2.0949850638,5.829,5.936,A
6.272,6.4984663701,34.668955863,0.1523051921,0.2495301668,0.868,9.588,B
2.778,3.4419577247,3.760166849,0.091671908,0.3652950983,5.247,5.658,C
6.14,9.3692728128,14.8766404358,0.0028592123,0.0135910725,1.358,5.995,C
8.415,11.0847796374,13.9938633275,0.0161897806,0.0197325504,1.593,5.094,C
2.286,3.6693834443,4.3610946772,0.0429254896,0.0562994564,9.925,0.498,C
8.815,11.5766902048,15.2079487767,0.1051953496,0.3263171023,8.8,3.788,D
7.717,9.0860095384,13.5385468867,0.0943837445,0.2810166741,5.436,1.522,D
3.68,5.9695282269,38.2392925506,0.1708954293,0.1746844299,5.188,7.98,B
6.452,7.3019614714,10.2557529647,0.0305098777,0.0308360263,1.82,4.57,C
9.766,10.224954928,13.3718816229,0.068231531,0.1082889367,3.101,3.157,E
3.454,5.0380333864,5.0974465223,0.03257411,0.2856155538,1.679,1.356,C
5.721,8.7271355283,8.8297751714,0.0540608041,0.712668041,0.48,8.719,C
4.096,5.8424893497,6.1567932862,0.229356219,1.3327739905,2.762,4.426,D
1.503,1.897347834,2.9417484158,0.5694933079,0.8316557418,9.219,2.577,E
5.571,42.410902005,153.3681865169,0.1173289529,0.1488186306,6.237,2.133,A
6.197,9.1549287749,12.2557466812,0.1339067113,0.1714342649,8.054,1.476,E
7.038,9.4108669432,14.1851337479,0.1399808837,0.4166730608,0.289,4.083,D
5.05,13.6191861701,18.4106635303,0.0075066172,0.0082093962,7.29,1.402,A
5.044,6.1789233824,8.6318789753,0.1616904518,14.9421578909,8.833,4.845,D
1.903,7.70338356,58.7679778808,0.113132154,0.47251922,9.452,1.588,A
4.502,281.6703623812,443.8627238183,0.1979459445,0.2301761942,2.442,3.647,A
2.387,3.5657706594,22.4049360463,0.3276761854,0.3458838525,6.828,7.796,B
3.677,4.1950804129,4.8053241227,0.2383254239,0.2504122712,6.058,9.288,E
1.741,1.8911779281,1.966607288,0.4680220891,1.2352555802,1.115,9.381,D
3.86,4.4603964639,4.7195402977,0.0477376723,0.1628469469,8.567,3.292,C
3.285,5.3900251015,59.4015713718,0.1172839169,0.147965791,1.051,2.357,B
5.264,6.1986119515,6.9349283338,0.1421419256,1.3508916695,4.42,5.468,D
8.624,8.7755072705,13.108396913,0.0728834242,0.2090342962,2.85,6.827,D
3.584,9.7269317477,15.0108891969,0.0665129644,0.35725163,1.539,8.304,A
0.25,0.328550606,4.6693741633,3.4135056809,13.0453012276,3.363,0.973,B
6.598,9.3332601341,23.3882277656,0.1415085984,2.4402806571,4.82,1.724,B
5.048,6.2695305176,8.4709165602,0.1426337339,0.1514357068,3.476,6.335,E
5.517,6.5898240886,9.6976117892,0.0201144847,0.0707159967,2.866,6.127,C
6.005,26.5978421203,111.4205531414,0.1426748347,0.7944824323,6.977,0.178,A
4.232,5.5993771189,7.4078502211,0.2297997853,0.3525420893,2.196,0.541,E
2.635,4.0662772382,4.663301275,0.1030212932,0.1374489596,0.367,0.701,C
5.25,5.4488133355,6.5163663487,0.0716190796,0.0999878272,6.122,8.832,C
2.983,4.0923025247,6.324038619,0.2024253558,1.0019797949,5.417,7.397,D
6.396,7.5094899344,129.7011068875,0.1057642108,0.1610105581,3.749,3.186,B
2.113,3.2584425371,9.665016459,0.181893412,2.1275047682,1.717,7.805,B
8.163,10.7813159535,12.1859953215,0.1204969196,0.1290061726,9.213,0.401,E
1.654,2.1448222812,2.7315095637,0.1701342628,0.2420291142,6.319,7.263,C
7.672,8.6976297363,12.6658853483,0.0188070435,0.4934495482,3.906,2.748,C
5.185,6.1239834534,8.0881400229,0.1864180329,0.2509273353,9.805,2.119,E
5.101,7.4349707788,8.0180145407,0.1712990363,0.72697208,7.81,6.354,D
2.147,2.248771674,2.2826643041,0.1711506233,7.9755058748,0.392,2.778,C
5.83,8.4621381851,10.522890387,0.1602495945,0.1877429486,1.227,7.15,E
9.134,9.5158314994,9.9474556955,0.1051133538,0.2637272288,8.808,4.004,D
0.669,1.9227259461,12.5862942792,1.2527348398,1.2678496374,2.311,6.066,A
3.902,10.3622920606,10.4449207041,0.1563719799,1.1074266071,9.638,3.935,A
2.029,2.0725636232,2.4077768199,0.0554853408,0.0804043241,7.128,3.155,C
7.84,11.3621279227,12.7549262962,0.0483956914,0.0542326645,3.884,3.538,C
0.346,0.4782673801,0.5810048559,0.3500703628,1.0450727059,3.425,5.876,C
7.779,9.3415794981,12.7246248055,0.0926134383,0.2435169116,1.393,7.801,D
3.506,4.692103483,6.243682609,0.2455448604,0.3721416477,4.634,4.291,E
5.311,6.3999141418,17.1259345197,0.1291076254,0.1693202812,5.547,4.275,B
3.252,4.615395811,18.6906143434,0.2865409233,0.2987813448,4.695,5.816,B
7.566,9.918964498,15.7396791676,0.0220551905,0.0243750242,4.107,3.852,C
4.92,5.9515906438,86.9647869863,0.1585608662,0.4808028953,2.589,9.057,B
8.976,9.5524899257,24.3940829039,0.080279366,0.5504815815,2.783,9.18,B
6.641,6.79874643,9.6428310366,0.0907668007,0.1286593839,9.908,2.889,E
9.081,11.5434751385,18.8344125346,0.1030932203,0.141825405,4.158,5.244,E
5.525,669.3992776488,905.9194170337,0.1107235801,0.9057257259,8.115,8.885,A
3.387,4.9213011917,5.0356731904,0.0216265412,0.022141573,1.318,3.587,C
2.233,2.5883701528,14.4005233426,0.4100958906,2.6071357576,7.283,6.404,B
6.65,7.117406381,9.8075992492,0.0495915969,0.0546880115,5.182,9.65,C
2.345,2.3685824391,2.5215363096,0.2934748855,2.2560428007,4.27,7.716,D
0.695,0.853015727,2.6350408745,1.0449853811,2.6281288071,1.299,8.631,B
2.174,2.590777766,2.9423549216,0.3183921164,0.4946945847,6.558,4.758,E
6.359,29.6345183648,37.4196895816,0.1409998295,0.2213493305,2.181,0.23,A
8.062,11.1864963927,11.5051551032,0.1161175486,0.1381375334,0.71,2.05,E
5.019,7.0625394203,9.1739521331,0.1826358159,0.2499381722,2.748,7.393,E
4.009,6.4941233461,103.3683519688,0.1565029792,0.5965723911,9.998,3.637,B
1.343,41.4426265048,144.3707394521,0.055561037,0.0728589459,8.527,9.605,A
2.276,2.9583218911,3.126825357,0.3549420844,0.356458374,7.107,4.651,E
6.25,35.9694573542,48.3140026823,0.1399152536,1.0313837629,1.199,4.197,A
7.583,10.6304899477,13.503325341,0.0302525464,0.2958664521,2.147,0.94,C
9.257,9.9774266036,72.1723519537,0.1010135782,0.1637476679,2.098,6.394,B
0.48,1.3177620234,2.1558612176,0.8242097906,14.0025208244,7.2,0.844,A
9.641,9.9071463039,10.6087868397,0.076030089,0.1242755268,1.269,2.709,E
9.79,11.5238379336,14.902893465,0.0011815973,0.060466371,4.044,7.651,C
1.847,1.8573296498,2.116315865,0.1133083686,0.1302660068,7.817,6.197,C
0.326,0.4726558551,2.5495509297,0.2367819408,0.3332500446,2.1,9.403,B
2.118,3.1659836793,4.1906027406,0.4053822553,0.4603130594,2.222,2.324,E
9.997,11.3304634788,15.9414218445,0.0193204831,0.0242776366,4.123,8.241,C
5.624,6.4578508944,9.4219297048,0.0363876177,0.2300313249,5.306,7.04,C
8.976,11.4639651221,15.1621083725,0.0882340433,0.0937614162,8.556,4.895,E
6.276,6.9731246312,10.3082513877,0.0340865901,0.040151635,7.342,5.582,C
1.478,2.2118145461,2.8724795312,0.4085197096,0.4197245788,7.689,1.773,E
4.279,4.4303713488,17.8250961511,0.2024172556,2.8868561044,8.443,9.818,B
2.32,3.7008410111,5.8340100641,0.1401443419,0.1488151783,3.404,6.485,C
9.322,9.6156366891,46.9478545115,0.0929137552,0.0935131077,1.866,2.063,B
5.413,6.1585445379,8.4372344553,0.1156168149,0.1800035071,9.049,0.819,E
3.19,3.6100951375,185.8182445567,0.297788613,0.3001771862,5.949,7.685,B
2.972,4.2173161932,6.1351037771,0.2822634113,0.3729068802,0.108,7.574,E
3.473,4.8968169755,7.7442341477,0.084941712,0.6644191038,7.941,4.473,C
8.48,12.9372484619,15.0791412472,0.0725840045,0.1880568079,1.618,8.033,D
9.402,12.3975242789,13.1051215562,0.103409602,0.3955828169,7.25,9.154,D
2.134,3.3043294654,3.6923558916,0.1581731461,0.1769301425,9.211,4.321,C
7.764,31.8418518195,49.3725935336,0.116200868,0.1693733663,2.648,4.286,A
1.635,2.5085232491,3.7360940531,0.4471896141,1.2060696601,7.887,6.535,D
9.045,9.1154017829,11.9143097334,0.0672125691,0.1936806705,8.074,6.63,D
6.108,10.0439039375,10.765460499,0.037115594,0.0404324116,8.203,9.691,C
2.987,118.6583297591,165.4075185841,0.2898542575,0.4727873701,9.215,5.411,A
2.235,6.1961724079,31.5088136705,0.1356136344,0.1427717292,6.328,9.214,A
0.621,7.1414394045,8.7208674347,1.2350499051,5.8954160986,3.333,3.974,A
3.146,4.8953234558,5.0845312878,0.2495802259,0.3999309453,0.647,5.304,E
0.713,0.7241302806,0.8350419139,1.0071546449,4.2451120171,4.206,6.959,D
3.844,6.3863092457,9.8710234837,0.2113579975,17.8928010424,3.344,1.81,D
4.116,4.9062681547,6.98683309,0.0219192841,0.0325428217,1.228,0.352,C
8.453,8.9704624239,12.5506898301,0.0205510824,0.024108782,0.305,2.756,C
8.606,11.9614651784,13.4686673234,0.007255991,0.0279181361,4.223,4.894,C
9.876,26.1645196208,41.6930768917,0.0377587124,0.0491139421,7.829,0.903,A
4.763,5.4370847032,47.855092443,0.1762634326,0.2866291813,3.688,3.374,B
2.584,2.9088382736,4.7130400968,0.1344459341,0.1874205419,5.825,0.853,C
9.563,62.7175408541,66.1742681491,0.0723648566,0.7775939644,8.726,7.451,A
4.197,4.2132454876,5.4116807842,0.210443402,0.6231632402,6.747,7.574,D
0.254,0.3788971542,0.4698356722,2.769890883,3.3200879087,3.148,2.577,E
3.434,4.9778150745,47.928808659,0.1797747524,0.1922479679,5.415,5.987,B
6.909,19.1561791293,22.6611635553,0.0925066728,0.0947796176,8.319,1.796,A
3.282,3.6250441448,706.2606920873,0.2337614833,0.7892074454,4.376,7.829,B
5.938,7.2613006571,22.3961553194,0.1257501745,0.176692782,7.81,6.402,B
6.377,69.005688291,198.0960086481,0.1125753084,1.7066567662,5.184,6.697,A
4.996,5.056628893,5.165509431,0.0273260648,0.4014295988,2.888,9.348,C
5.399,14.177434285,22.7125540018,0.1546945395,1.8471290975,2.122,2.368,A
0.2,0.2070690228,0.3340512497,4.3889452219,77.958787369,0.587,2.573,D
0.308,0.330439258,0.4484640645,2.360987822,3.1852606608,7.733,0.533,E
3.559,11.7497123395,14.2110313699,0.2368212543,0.3688686002,0.404,9.793,A
1.155,1.7673930111,2.2057652297,0.5638824556,0.6014878782,7.402,0.502,E
3.489,3.8826187976,14.9769680593,0.0814997952,0.0919742638,3.891,6.891,B
2.784,3.2600325962,4.2648099455,0.0940890471,0.1055777212,9.323,5.561,C
7.612,2170.596796877,2452.1381852523,0.0925442629,1.3017869597,6.526,4.804,A
6.1,6.7913400066,9.0510288334,0.1428972226,1.2618648357,1.04,5.6,D
2.637,3.6964951889,5.1317503494,0.2339445292,0.2750117225,4.046,0.109,E
6.933,9.9900931046,70.522422704,0.1168242184,0.1592414902,5.003,4.891,B
7.022,18.1274575189,19.7096755214,0.0991069784,0.1612449316,4.848,0.224,A
8.993,12.3824832961,346.3225618816,0.093452894,0.1066240477,8.907,5.215,B
1.438,1.5502977566,2.1468180454,0.450929676,0.6282338425,3.631,6.858,E
7.491,8.6642297232,12.2856670764,0.0325960527,0.1756015726,2.929,7.552,C
8.763,12.4798643768,19.5803148026,0.0047367203,0.0066140003,3.984,9.456,C
4.982,12.9835957261,14.8835367672,0.0506126946,0.1453117027,9.059,7.125,A
9.031,11.7020687256,14.8043514157,0.0088136058,0.0124240047,5.407,0.782,C
1.056,1.364093074,4.193885468,0.7251581584,5.0048544549,6.18,2.238,B
2.506,69.4010414445,104.0482477681,0.3576120212,0.4872811476,6.352,1.285,A
7.34,18.4597017195,28.4931262426,0.0159049602,0.0171655551,4.185,3.414,A
1.402,2.0149250964,2.8487558502,0.4945256853,0.7102568072,5.328,9.41,E
0.721,0.8363960948,1.0314162616,0.1174481584,0.3798788698,7.814,0.833,C
8.132,10.2461681968,12.3284917545,0.1189454795,4.5642978061,4.983,7.473,D
0.745,0.8924556096,8.6771168054,0.3756500666,0.6121002097,0.367,6.988,B
5.764,6.1103279298,7.006631812,0.1126565614,0.1680841063,2.13,5.598,E
1.49,1.7250617435,2.2860506843,0.2023870407,0.6181568133,1.967,5.876,C
7.384,9.8248567979,25.1073312376,0.0902661428,0.9133648376,3.317,9.507,B
7.621,8.7374770096,12.6933163326,0.0105912371,0.0405360436,1.514,9.071,C
2.196,13.7206657333,19.175175866,0.4513465429,6.4160524553,1.953,7.342,A
3.774,21.4826186981,23.9262375396,0.1923071759,0.2336427389,4.443,2.842,A
9.386,15.2528334198,23.2174606104,0.0799893378,0.2372854582,6.732,7.9,D
0.876,23.9366621796,85.2746059972,0.3280692865,6.3080331443,5.97,6.097,A
3.777,6.1657810294,25.0394927577,0.0336184152,0.0538697584,4.849,7.723,B
6.386,7.0861503514,7.3431103983,0.1274717895,0.1904638051,8.019,7.14,E
7.84,92.2080956757,101.1310261343,0.0951835192,0.1335463622,8.656,9.136,A
0.95,15.6281448037,19.4870381326,0.1328713656,0.1985344811,6.308,7.133,A
5.716,5.9524774613,61.7661493392,0.1178630986,0.3437954349,4.992,1.468,B
6.858,10.6041173292,16.2182763738,0.054114927,2.3950853805,2.029,7.061,C
2.831,20.8155939009,33.835015978,0.2289291288,0.3320898142,9.951,4.001,A
9.744,25.9649280293,26.0131888958,0.0694571641,0.34404133,2.919,7.508,A
6.428,9.7271928746,59.0890707687,0.0538183404,0.0625368619,5.392,7.28,B
7.994,132.8670259806,355.2637104913,0.0113946987,0.0153849977,3.42,0.54,A
7.326,9.2355960704,13.5232906688,0.0830372638,0.1264183443,2.881,9.248,E
4.563,6.5474435867,6.7380676684,0.1694767089,0.6347367169,1.939,4.061,D
4.626,7.3432594086,8.6967404043,0.1398279508,0.3661811635,9.06,9.625,D
7.364,9.4786744339,31.0781104169,0.0012422987,0.0016932068,2.655,2.783,B
0.66,3.4022500873,4.0321518045,1.2365577299,97.3551737675,4.519,3.746,A
7.364,9.2750960453,51.4721225303,0.1038154068,0.9745115841,9.681,8.419,B
5.112,5.3613885812,7.4648484401,0.1279070153,0.1713207722,7.803,8.076,E
0.548,0.7770026846,0.9732396112,1.6031973185,6.003720807,4.691,1.087,D
7.856,11.1098784055,41.9466962,0.0883103473,0.4491698756,0.169,2.308,B
8.329,47.9550400845,195.3971893212,0.1178897639,0.1424386517,1.037,7.75,A
3.868,6.170545487,6.8436790987,0.2513763668,16.290003924,5.864,6.639,D
3.741,3.9485076848,26.4806268162,0.2263752898,1.3218132646,3.682,9.736,B
6.997,7.2675650675,9.364341026,0.0874724456,0.1043064438,4.677,8.5,E
6.509,6.5984598224,7.6137812447,0.1407271088,1.1767324618,4.756,4.657,D
6.524,8.2803132142,8.8002325205,0.0129223454,0.0685943778,1.842,7.872,C
1.907,2.2633828561,2.9487845492,0.4530022775,0.5269260046,4.308,3.297,E
2.304,2.5707103414,3.1957522898,0.059989138,1.7088371942,9.735,3.652,C
9.819,13.1508299973,90.7299780738,0.0956541812,0.1361973377,8.198,1.477,B
0.757,1.0912811801,4.6066331745,0.1459790593,3.0367210993,1.933,4.071,B
4.227,4.8591128577,5.7260420572,0.2105169453,0.3135225186,8.042,0.738,E
6.486,10.1462408985,16.1718570511,0.0146737149,0.5614516775,1.317,0.121,C
4.819,19.1893380982,20.6155086498,0.1288714525,0.3492996237,6.035,9.399,A
8.265,10.9840522338,11.1887138965,0.0802880057,0.0846437264,6.471,4.262,E
1.654,6.7808574671,7.0583114153,0.0342059589,6.0440120948,3.979,6.183,A
3.645,4.0564538949,13.7662307445,0.2045156628,0.2403333575,2.389,6.322,B
9.725,10.7692374898,11.8305065333,0.0406647169,0.145306073,0.544,6.251,C
9.226,14.5470620161,18.6916629763,0.07601435,0.1211083914,9.009,6.866,E
3.031,3.3610775448,5.0519899929,0.2381458604,1.1765888214,2.729,5.144,D
5.109,15.4493104495,23.3052919958,0.1806893946,0.2807782144,8.567,6.726,A
4.728,5.9044741867,47.1847249548,0.1610236516,0.9023413188,8.469,3.692,B
2.333,3.156163424,8.9218569912,0.3729480025,0.5011763986,7.533,5.603,B
3.037,4.593194046,6.4682906506,0.2196710767,0.6782679615,0.411,7.474,D
4.878,6.1141413975,8.1628989999,0.0114782463,0.0518372533,0.681,0.144,C
1.129,1.2218054416,1.4285736298,0.1463608853,0.6500214082,7.11,7.559,C
4.954,6.1404508455,9.7970136155,0.000675265,0.0007305844,2.8,5.645,C
5.517,5.8747700981,69.8876108147,0.0328264678,0.0463758253,8.993,1.574,B
6.373,7.3880994792,23.0842316325,0.0463184559,0.6249678476,0.515,4.123,B
