defense,attack,agility,stamina,class
5.0346480883,1.3692570096,4.8542573876,4.122161706,defender
4.1847553677,5.6500404365,2.033491944,4.6977245193,wizard
1.6329576112,1.6669501797,4.6932515632,3.1282786201,demon hunter
5.7930002236,3.0552148065,3.9203070211,4.6194013595,defender
2.2899114727,2.4063796611,1.8738238714,4.9270838513,wizard
5.0875136154,1.9937809221,4.3542063064,2.4397363155,defender
3.8504114109,4.0756246904,4.6274208105,3.976740927,demon hunter
2.4953210065,5.1260500439,4.3619632432,1.792028401,demon hunter
4.8264011336,5.1554208612,2.2549534882,1.4666492762,demon hunter
2.8213673867,5.4620015519,4.5422177915,2.4634300815,demon hunter
3.3522227001,2.8566304888,5.7214183817,3.1876844927,demon hunter
1.1263295137,1.1091306773,2.022619626,4.056751017,wizard
1.5129691516,1.9829171747,5.6334582358,5.9955270439,wizard
2.6402481426,3.6659465232,4.2070480636,4.075568513,demon hunter
5.6420626948,2.8279099208,3.8641618695,5.4103937899,defender
3.6371723763,3.6811339543,1.1199570508,5.4271224551,wizard
2.5890705213,4.8351002894,4.1276968867,5.9227098073,wizard
3.1258890792,4.9855632419,5.0625932417,5.4267438632,wizard
5.2695988691,5.8051588866,4.2321972796,3.291874697,demon hunter
4.5431431117,3.3819141276,2.7321377667,5.4454674842,defender
2.5779052861,5.4954233197,1.103627264,1.8767388808,wizard
4.3532729838,3.7922149235,3.1884005959,1.0283787306,demon hunter
1.9412321658,1.9806876234,5.8541166587,2.0271101748,demon hunter
4.5043458478,1.164373049,2.5330255893,1.0934163691,defender
4.9994733385,5.660722476,1.0161261763,2.1253624177,wizard
4.6462857178,5.078719418,1.5521062808,3.915884587,wizard
4.883878307,4.7843035627,1.2077592839,3.4270214187,wizard
2.1662176903,2.9398970506,2.8724889052,3.7441229764,wizard
2.4353203704,2.9761161692,4.6208618572,5.7885933542,wizard
5.7683310951,1.8092624554,5.8169720848,1.7095632609,defender
2.7899500788,5.6710887435,2.7366734357,1.2942959266,demon hunter
5.8354617925,4.269699025,1.3877122956,4.834935131,defender
3.9304215009,1.403838472,5.9602975487,2.5767072188,defender
5.4825578923,1.5124038318,5.4925918058,4.3664361993,defender
5.2967073945,5.7003510897,1.793457618,1.4629250849,demon hunter
